Drink	Fl oz	Calories	Caffeine	Mg / floz
Teas' Tea Oolong	16.9	0	70	4.1
Teavana Tea	8	0	41	5.1
Tejava Iced Tea	12	0	50	4.2
TENZING Natural Energy	8.46	50	80	9.5
Tiger Energy Drink	8.46	0	80	9.5
Tim Hortons Large Brewed Coffee	20	5	270	13.5
Tim Hortons Small French Vanilla Coffee	10	0	60	6
Tonic Water	10	110	0	0
Triton Energy Drink	16	15	200	12.5
Tropicana Twister Soda	20	320	0	0
Tru Energy Wakeup	12	10	100	8.3
TruBrain Extra	1	25	100	100
True Lemon Energy Mix	16	0	120	7.5
TrueStart Performance Coffee	5.1	0	95	18.6
Turkey Hill Iced Tea	12	120	64	5.3
Turkish Coffee	2	20	50	25
Tweaker Energy Drink	8.46	110	80	9.5
Tweaker Shot	2	0	275	137.5
Twig Tea (Kukicha)	8	0	25	3.1
Ugly Energy Water	16	0	160	10
UPTIME Energy Drink	12	150	142	11.8
USANA Rev3 Energy Drink	12	105	120	10
V Iced Coffee	16.91	345	155	9.2
V Energy Drink	8.45	116	78	9.2
V8 +Energy Drink	8	140	80	10
Venom Death Adder	16	160	160	10
Vernors Ginger Ale	12	140	0	0
Very Strong Coffee	12	0	1350	112.5
Virtue Clean Energy Beverage	8.46	8	80	9.5
Viso Energy Drink	17	140	300	17.6
Vital 4U Liquid Energy	0.5	34	155	310
VitaminWater Energy	20	100	50	2.5
VitaRain Zero Enhanced Water	20	0	42	2.1
Voila Instant Coffee	8	0	100	12.5
Waka Decaf Instant Coffee	8	0	4	0.5
Waka Indian Instant Coffee	8	0	70	8.8
Waka Instant Coffee	8	0	70	8.8
Waka Instant Tea	8	0	30	3.8
Water Joe	20	0	70	3.5
Wave Soda	12	25	42	3.5
Wawa Coffee	16	4	290	18.1
Wendy's Iced Tea	16	5	32	2
Whipped (Dalgona) Coffee	8	48	105	13.1
Wide Awake Coffee Cold Brew	11	5	120	10.9
Wide Awake Energy Coffee	15	190	180	12
Wide Awake Iced Coffee Drinks	13.7	290	30	2.2
Wild Cherry Pepsi	12	160	38	3.2
Wild Tiger Energy Drink	8.36	125	75	9
Wildcat Energy Drink (UK)	8.46	115	80	9.5
Wired X 3000 Energy Drink	16	220	185	11.6
Wired X Berry Rush	16	220	95	5.9
Wired X344 Energy Drink	16	220	344	21.5
Woke Up Energy Shot	1.93	0	225	116.6
X Ray Energy Drink	8.46	125	79	9.3
X-Mode Energy Shot	1	0	150	150
Xing Craft Brew	16	5	120	7.5
Xingtea Iced Green Tea	23.5	50	110	4.7
XL Energy Drink (EU)	8.45	118	80	9.5
XS Energy Drink	8.4	10	80	9.5
